Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,8127311,,1200051142,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-1443.03,USD,,
,1018504,8127313,,1200051144,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-438.23,USD,,
,1018504,8127314,,1200051145,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-242.76,USD,,
,1018504,8127315,,1200051146,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-359.17,USD,,
,1018504,8127320,,1200051151,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-424.48,USD,,
,1018504,8127321,,1200051152,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-2738.92,USD,,
,1018504,8127323,,1200051154,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-225.71,USD,,
,1018504,8127328,,1200051160,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-152.4,USD,,
,1018504,8127331,,1200051163,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-58.48,USD,,
,1018504,8127334,,1200051166,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-1090.24,USD,,
,1018504,8127339,,1200051171,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-113,USD,,
,1018504,8127340,,1200051172,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-271.61,USD,,
,1018504,8127347,,1200051179,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-29.55,USD,,
